timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544248677798,6043,View map,200,OK,ThreadGroup 1-21,text,true,,229866,472,33,33,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.84%2C+27.50%2C+54.14%2C+27.80%29,6032,0,1
1544248677797,6043,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-21,,true,,229866,472,33,33,null,6032,2,1
1544248677973,5993,View map,200,OK,ThreadGroup 1-16,text,true,,173656,472,33,33,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.87%2C+27.50%2C+54.17%2C+27.80%29,5991,0,1
1544248677973,5993,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-16,,true,,173656,472,33,33,null,5991,0,1
1544248678331,6584,View map,200,OK,ThreadGroup 1-18,text,true,,2390,472,35,35,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.95%2C+27.53%2C+54.25%2C+27.83%29,6520,0,0
1544248678331,6584,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-18,,true,,2390,472,35,35,null,6520,0,0
1544248678328,6690,View map,200,OK,ThreadGroup 1-3,text,true,,36378,472,35,35,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.93%2C+27.53%2C+54.23%2C+27.83%29,6675,0,1
1544248678327,6690,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-3,,true,,36378,472,35,35,null,6675,2,1
1544248677994,7141,View map,200,OK,ThreadGroup 1-11,text,true,,179272,472,35,35,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.84%2C+27.53%2C+54.14%2C+27.83%29,7119,0,0
1544248677993,7141,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-11,,true,,179272,472,35,35,null,7119,1,0
1544248678326,6850,View map,200,OK,ThreadGroup 1-7,text,true,,85966,472,35,35,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.90%2C+27.53%2C+54.20%2C+27.83%29,6833,0,1
1544248678326,6850,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-7,,true,,85966,472,35,35,null,6833,0,1
1544248678298,6995,View map,200,OK,ThreadGroup 1-22,text,true,,134055,472,35,35,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.87%2C+27.53%2C+54.17%2C+27.83%29,6993,0,1
1544248678297,6995,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-22,,true,,134055,472,35,35,null,6993,1,1
1544248679298,6860,View map,200,OK,ThreadGroup 1-24,text,true,,2038,472,37,37,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.95%2C+27.56%2C+54.25%2C+27.86%29,6812,0,1
1544248679298,6860,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-24,,true,,2038,472,37,37,null,6812,0,1
1544248679284,6952,View map,200,OK,ThreadGroup 1-20,text,true,,28594,472,37,37,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.93%2C+27.56%2C+54.23%2C+27.86%29,6931,0,1
1544248679284,6952,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-20,,true,,28594,472,37,37,null,6931,1,1
1544248678339,7939,View map,200,OK,ThreadGroup 1-9,text,true,,143537,472,37,37,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.84%2C+27.56%2C+54.14%2C+27.86%29,7928,0,0
1544248678338,7939,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-9,,true,,143537,472,37,37,null,7928,1,0
1544248678798,7483,View map,200,OK,ThreadGroup 1-23,text,true,,66821,472,37,37,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.90%2C+27.56%2C+54.20%2C+27.86%29,7483,0,1
1544248678797,7483,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-23,,true,,66821,472,37,37,null,7483,2,1
